category,word,condition,correct_answer
A KIND OF MEAT,LAMB,E3,yes
A KIND OF MEAT,BACON,E4,yes
A KIND OF MEAT,STAKE,rw_homophone,no
A KIND OF MEAT,STAEK,nw_homophone,no
A KIND OF MEAT,STOAK,nw_spelling,no
A KIND OF MEAT,STEAM,rw_spelling,no
A KIND OF MEAT,GARDEN,Filler,no
A FOUR-FOOTED ANIMAL,BEAR,target,yes
A FOUR-FOOTED ANIMAL,HORSE,E1,yes
A FOUR-FOOTED ANIMAL,DOG,E2,yes
A FOUR-FOOTED ANIMAL,DEER,E3,yes
A FOUR-FOOTED ANIMAL,GOAT,E4,yes
A FOUR-FOOTED ANIMAL,BARE,rw_homophone,no
A FOUR-FOOTED ANIMAL,BAIR,nw_homophone,no
A FOUR-FOOTED ANIMAL,BIAR,nw_spelling,no
A FOUR-FOOTED ANIMAL,PEAR,rw_spelling,no
A FOUR-FOOTED ANIMAL,KETTLE,Filler,no
A CARPENTER'S TOOL,PLANE,target,yes
A CARPENTER'S TOOL,HAMMER,E1,yes
A CARPENTER'S TOOL,SAW,E2,yes
A CARPENTER'S TOOL,CHISEL,E3,yes
A CARPENTER'S TOOL,DRILL,E4,yes
A CARPENTER'S TOOL,PLAIN,rw_homophone,no
A CARPENTER'S TOOL,PLAEN,nw_homophone,no
A CARPENTER'S TOOL,PLONE,nw_spelling,no
A CARPENTER'S TOOL,PLATE,rw_spelling,no
A CARPENTER'S TOOL,PEACH,Filler,no
A PART OF A BUILDING,STAIR,target,yes
A PART OF A BUILDING,ROOF,E1,yes
A PART OF A BUILDING,WALL,E2,yes
A PART OF A BUILDING,DOOR,E3,yes
A PART OF A BUILDING,WINDOW,E4,yes
A PART OF A BUILDING,STARE,rw_homophone,no
A PART OF A BUILDING,STAER,nw_homophone,no
A PART OF A BUILDING,STAUR,nw_spelling,no
A PART OF A BUILDING,STAID,rw_spelling,no
A PART OF A BUILDING,MONKEY,Filler,no
A STORAGE SPACE,CELLAR,target,yes
A STORAGE SPACE,CLOSET,E1,yes
A STORAGE SPACE,ATTIC,E2,yes
A STORAGE SPACE,PANTRY,E3,yes
A STORAGE SPACE,SHED,E4,yes
A STORAGE SPACE,SELLER,rw_homophone,no
A STORAGE SPACE,CELLER,nw_homophone,no
A STORAGE SPACE,CILLAR,nw_spelling,no
A STORAGE SPACE,COLLAR,rw_spelling,no
A STORAGE SPACE,CANDLE,Filler,no
A SMALL STREAM,CREEK,target,yes
A SMALL STREAM,BROOK,E1,yes
A SMALL STREAM,RILL,E2,yes
A SMALL STREAM,RIVULET,E3,yes
A SMALL STREAM,RUNNEL,E4,yes
A SMALL STREAM,CREAK,rw_homophone,no
A SMALL STREAM,CREKE,nw_homophone,no
A SMALL STREAM,CREIK,nw_spelling,no
A SMALL STREAM,CREED,rw_spelling,no
A SMALL STREAM,SOCK,Filler,no
A PART OF A HORSE'S BRIDLE,REIN,target,yes
A PART OF A HORSE'S BRIDLE,BIT,E1,yes
A PART OF A HORSE'S BRIDLE,CROWNPIECE,E2,yes
A PART OF A HORSE'S BRIDLE,BROWBAND,E3,yes
A PART OF A HORSE'S BRIDLE,NOSEBAND,E4,yes
A PART OF A HORSE'S BRIDLE,RAIN,rw_homophone,no
A PART OF A HORSE'S BRIDLE,RAEN,nw_homophone,no
A PART OF A HORSE'S BRIDLE,REUN,nw_spelling,no
A PART OF A HORSE'S BRIDLE,RIND,rw_spelling,no
A PART OF A HORSE'S BRIDLE,MELON,Filler,no
A WEATHER PHENOMENON,HAIL,target,yes
A WEATHER PHENOMENON,RAIN,E1,yes
A WEATHER PHENOMENON,SNOW,E2,yes
A WEATHER PHENOMENON,FOG,E3,yes
A WEATHER PHENOMENON,THUNDER,E4,yes
A WEATHER PHENOMENON,HALE,rw_homophone,no
A WEATHER PHENOMENON,HAYL,nw_homophone,no
A WEATHER PHENOMENON,HOIL,nw_spelling,no
A WEATHER PHENOMENON,HALL,rw_spelling,no
A WEATHER PHENOMENON,DESK,Filler,no
A COLOR,BLUE,target,yes
A COLOR,RED,E1,yes
A COLOR,GREEN,E2,yes
A COLOR,YELLOW,E3,yes
A COLOR,PURPLE,E4,yes
A COLOR,BLEW,rw_homophone,no
A COLOR,BLOO,nw_homophone,no
A COLOR,BLIE,nw_spelling,no
A COLOR,BLUR,rw_spelling,no
A COLOR,TURTLE,Filler,no
A FLOWER,ROSE,target,yes
A FLOWER,TULIP,E1,yes
A FLOWER,LILY,E2,yes
A FLOWER,DAISY,E3,yes
A FLOWER,ORCHID,E4,yes
A FLOWER,ROWS,rw_homophone,no
A FLOWER,ROZE,nw_homophone,no
A FLOWER,ROSI,nw_spelling,no
A FLOWER,ROPE,rw_spelling,no
A FLOWER,CHEESE,Filler,no
A BREAKFAST FOOD,CEREAL,target,yes
A BREAKFAST FOOD,TOAST,E1,yes
A BREAKFAST FOOD,OATMEAL,E2,yes
A BREAKFAST FOOD,PANCAKES,E3,yes
A BREAKFAST FOOD,EGGS,E4,yes
A BREAKFAST FOOD,SERIAL,rw_homophone,no
A BREAKFAST FOOD,SEREAL,nw_homophone,no
A BREAKFAST FOOD,CEREIL,nw_spelling,no
A BREAKFAST FOOD,CEREUS,rw_spelling,no
A BREAKFAST FOOD,BRIDGE,Filler,no
A PART OF A PERSON'S FACE,NOSE,target,yes
A PART OF A PERSON'S FACE,MOUTH,E1,yes
A PART OF A PERSON'S FACE,CHIN,E2,yes
A PART OF A PERSON'S FACE,CHEEK,E3,yes
A PART OF A PERSON'S FACE,EYEBROW,E4,yes
A PART OF A PERSON'S FACE,NOES,rw_homophone,no
A PART OF A PERSON'S FACE,NOZE,nw_homophone,no
A PART OF A PERSON'S FACE,NOCE,nw_spelling,no
A PART OF A PERSON'S FACE,NOTE,rw_spelling,no
A PART OF A PERSON'S FACE,TRAIN,Filler,no
A SERVANT,MAID,target,yes
A SERVANT,BUTLER,E1,yes
A SERVANT,VALET,E2,yes
A SERVANT,ATTENDANT,E3,yes
A SERVANT,HOUSEKEEPER,E4,yes
A SERVANT,MADE,rw_homophone,no
A SERVANT,MAYD,nw_homophone,no
A SERVANT,MOID,nw_spelling,no
A SERVANT,MAIL,rw_spelling,no
A SERVANT,POTATO,Filler,no
A FEATURE OF PERSON'S ABDOMEN,NAVEL,target,yes
A FEATURE OF PERSON'S ABDOMEN,WAIST,E1,yes
A FEATURE OF PERSON'S ABDOMEN,BELLY,E2,yes
A FEATURE OF PERSON'S ABDOMEN,SCAR,E3,yes
A FEATURE OF PERSON'S ABDOMEN,MUSCLE,E4,yes
A FEATURE OF PERSON'S ABDOMEN,NAVAL,rw_homophone,no
A FEATURE OF PERSON'S ABDOMEN,NAVIL,nw_homophone,no
A FEATURE OF PERSON'S ABDOMEN,NEVEL,nw_spelling,no
A FEATURE OF PERSON'S ABDOMEN,NOVEL,rw_spelling,no
A FEATURE OF PERSON'S ABDOMEN,GUITAR,Filler,no
A PART OF A MOUNTAIN,PEAK,target,yes
A PART OF A MOUNTAIN,SLOPE,E1,yes
A PART OF A MOUNTAIN,RIDGE,E2,yes
A PART OF A MOUNTAIN,SUMMIT,E3,yes
A PART OF A MOUNTAIN,FOOTHILL,E4,yes
A PART OF A MOUNTAIN,PEEK,rw_homophone,no
A PART OF A MOUNTAIN,PEEC,nw_homophone,no
A PART OF A MOUNTAIN,POAK,nw_spelling,no
A PART OF A MOUNTAIN,PECK,rw_spelling,no
A PART OF A MOUNTAIN,BASKET,Filler,no
A TYPE OF HOTEL ROOM,SUITE,target,yes
A TYPE OF HOTEL ROOM,SINGLE,E1,yes
A TYPE OF HOTEL ROOM,DOUBLE,E2,yes
A TYPE OF HOTEL ROOM,STUDIO,E3,yes
A TYPE OF HOTEL ROOM,PENTHOUSE,E4,yes
A TYPE OF HOTEL ROOM,SWEET,rw_homophone,no
A TYPE OF HOTEL ROOM,SWETE,nw_homophone,no
A TYPE OF HOTEL ROOM,SUATE,nw_spelling,no
A TYPE OF HOTEL ROOM,SUITS,rw_spelling,no
A TYPE OF HOTEL ROOM,DOLPHIN,Filler,no
A PART OF THE HUMAN BODY,HAIR,target,yes
A PART OF THE HUMAN BODY,ARM,E1,yes
A PART OF THE HUMAN BODY,LEG,E2,yes
A PART OF THE HUMAN BODY,HAND,E3,yes
A PART OF THE HUMAN BODY,SHOULDER,E4,yes
A PART OF THE HUMAN BODY,HARE,rw_homophone,no
A PART OF THE HUMAN BODY,HAER,nw_homophone,no
A PART OF THE HUMAN BODY,HAOR,nw_spelling,no
A PART OF THE HUMAN BODY,HAIL,rw_spelling,no
A PART OF THE HUMAN BODY,BLANKET,Filler,no
BEACH GEAR,PAIL,target,yes
BEACH GEAR,TOWEL,E1,yes
BEACH GEAR,UMBRELLA,E2,yes
BEACH GEAR,SUNSCREEN,E3,yes
BEACH GEAR,SWIMSUIT,E4,yes
BEACH GEAR,PALE,rw_homophone,no
BEACH GEAR,PAYL,nw_homophone,no
BEACH GEAR,POIL,nw_spelling,no
BEACH GEAR,PAID,rw_spelling,no
BEACH GEAR,SCISSORS,Filler,no
A WILD ANIMAL,BOAR,target,yes
A WILD ANIMAL,WOLF,E1,yes
A WILD ANIMAL,FOX,E2,yes
A WILD ANIMAL,TIGER,E3,yes
A WILD ANIMAL,LEOPARD,E4,yes
A WILD ANIMAL,BORE,rw_homophone,no
A WILD ANIMAL,BORR,nw_homophone,no
A WILD ANIMAL,BOUR,nw_spelling,no
A WILD ANIMAL,BOAT,rw_spelling,no
A WILD ANIMAL,WAFFLE,Filler,no
A MUSICAL INSTRUMENT,LYRE,target,yes
A MUSICAL INSTRUMENT,PIANO,E1,yes
A MUSICAL INSTRUMENT,VIOLIN,E2,yes
A MUSICAL INSTRUMENT,FLUTE,E3,yes
A MUSICAL INSTRUMENT,TRUMPET,E4,yes
A MUSICAL INSTRUMENT,LIAR,rw_homophone,no
A MUSICAL INSTRUMENT,LYAR,nw_homophone,no
A MUSICAL INSTRUMENT,LYRO,nw_spelling,no
A MUSICAL INSTRUMENT,LIME,rw_spelling,no
A MUSICAL INSTRUMENT,GARAGE,Filler,no
A PART OF A LION'S BODY,MANE,target,yes
A PART OF A LION'S BODY,FANG,E1,yes
A PART OF A LION'S BODY,PAW,E2,yes
A PART OF A LION'S BODY,WHISKER,E3,yes
A PART OF A LION'S BODY,CLAW,E4,yes
A PART OF A LION'S BODY,MAIN,rw_homophone,no
A PART OF A LION'S BODY,MAYN,nw_homophone,no
A PART OF A LION'S BODY,MUNE,nw_spelling,no
A PART OF A LION'S BODY,MANY,rw_spelling,no
A PART OF A LION'S BODY,GLOVE,Filler,no
A KITCHEN UTENSIL,BOWL,target,yes
A KITCHEN UTENSIL,SPOON,E1,yes
A KITCHEN UTENSIL,FORK,E2,yes
A KITCHEN UTENSIL,WHISK,E3,yes
A KITCHEN UTENSIL,SPATULA,E4,yes
A KITCHEN UTENSIL,BOLE,rw_homophone,no
A KITCHEN UTENSIL,BOAL,nw_homophone,no
A KITCHEN UTENSIL,BOUL,nw_spelling,no
A KITCHEN UTENSIL,BOIL,rw_spelling,no
A KITCHEN UTENSIL,GIRAFFE,Filler,no
A VEGETABLE,CARROT,target,yes
A VEGETABLE,BROCCOLI,E1,yes
A VEGETABLE,CABBAGE,E2,yes
A VEGETABLE,SPINACH,E3,yes
A VEGETABLE,CELERY,E4,yes
A VEGETABLE,CARAT,rw_homophone,no
A VEGETABLE,KARROT,nw_homophone,no
A VEGETABLE,CORROT,nw_spelling,no
A VEGETABLE,PARROT,rw_spelling,no
A VEGETABLE,HELMET,Filler,no
AN ARTICLE OF CLOTHING,SUIT,target,yes
AN ARTICLE OF CLOTHING,SHIRT,E1,yes
AN ARTICLE OF CLOTHING,JACKET,E2,yes
AN ARTICLE OF CLOTHING,SKIRT,E3,yes
AN ARTICLE OF CLOTHING,SWEATER,E4,yes
AN ARTICLE OF CLOTHING,SUITE,rw_homophone,no
AN ARTICLE OF CLOTHING,SUTE,nw_homophone,no
AN ARTICLE OF CLOTHING,SOTE,nw_spelling,no
AN ARTICLE OF CLOTHING,SUET,rw_spelling,no
AN ARTICLE OF CLOTHING,VOLCANO,Filler,no
A MEMBER OF A CONVENT,NUN,target,yes
A MEMBER OF A CONVENT,SISTER,E1,yes
A MEMBER OF A CONVENT,NOVICE,E2,yes
A MEMBER OF A CONVENT,ABBESS,E3,yes
A MEMBER OF A CONVENT,PRIORESS,E4,yes
A MEMBER OF A CONVENT,NONE,rw_homophone,no
A MEMBER OF A CONVENT,NUHN,nw_homophone,no
A MEMBER OF A CONVENT,NEN,nw_spelling,no
A MEMBER OF A CONVENT,RUN,rw_spelling,no
A MEMBER OF A CONVENT,ISLAND,Filler,no
SOMETHING CAUSED BY A FORCE,WEIGHT,target,yes
SOMETHING CAUSED BY A FORCE,MOTION,E1,yes
SOMETHING CAUSED BY A FORCE,PRESSURE,E2,yes
SOMETHING CAUSED BY A FORCE,ACCELERATION,E3,yes
SOMETHING CAUSED BY A FORCE,DEFORMATION,E4,yes
SOMETHING CAUSED BY A FORCE,WAIT,rw_homophone,no
SOMETHING CAUSED BY A FORCE,WATE,nw_homophone,no
SOMETHING CAUSED BY A FORCE,WOTE,nw_spelling,no
SOMETHING CAUSED BY A FORCE,HEIGHT,rw_spelling,no
SOMETHING CAUSED BY A FORCE,BUTTERFLY,Filler,no
